SN,,,,, Intrested In Learning, Gender, Level, Location,  Date Created,,,,,
1,,,,,Data Analyst,Female,Beginner,Lagos,24/07/2023 11:43,,,,,
2,,,,,Graphic design skills,Male,Beginner,Akerebiata area ilorin, kwara state,25/07/2023 08:08,,,,
3,,,,,Data analysis,Male,Beginner,Ilorin,25/07/2023 08:46,,,,,
4,,,,,Any skill,Male,Beginner,Kwara state ilorin,25/07/2023 08:59,,,,,
5,,,,,Web design/ data analyst,Female,Beginner,Behind balee's house, Owode Ede, Osun state.,25/07/2023 11:02,,,
6,,,,,I don't have idea on any, am a sociologist,Male,Beginner,Makoko,25/07/2023 11:19,,,,
7,,,,,Coding,Male,Beginner,Lagos,25/07/2023 11:58,,,,,
8,,,,,Coding,Male,Beginner,Lagos,25/07/2023 11:58,,,,,
9,,,,,Computer science (graphics design),Male,Intermediate,Lagos ikoyi,25/07/2023 12:18,,,,,
10,,,,,All,Male,Beginner,NGN,25/07/2023 12:28,,,,,
11,,,,,Video Editing/App development,Male,Beginner,Lagos,25/07/2023 13:24,,,,,
12,,,,,ALL,Male,Intermediate,SAGAMU,25/07/2023 14:09,,,,,
13,,,,,Coding,Male,Intermediate,Lagos,25/07/2023 18:04,,,,,
14,,,,,Video editing and graphics designing,Female,Beginner,Ondo state,25/07/2023 18:26,,,,,
15,,,,,Social Media Marketers & Advertisement,Male,Intermediate,Osun state,25/07/2023 18:30,,,,,
16,,,,,,,,,25/07/2023 18:30,,,,,
17,,,,,,,,,25/07/2023 18:30,,,,,
18,,,,,Computer skills,Male,Intermediate,USA,25/07/2023 19:50,,,,,
19,,,,,Business Analysis,Male,Professional,Lagos,25/07/2023 19:54,,,,,
20,,,,,Data Analysis,Female,Beginner,Oyo,25/07/2023 20:06,,,,,
21,,,,,Mobile App development,Male,Intermediate,Iworoko, Ado Ekiti,25/07/2023 21:11,,,,
22,,,,,Digital skllis,Female,Beginner,Sango otta ogum state,25/07/2023 21:23,,,,,
23,,,,,Tech,Male,Beginner,Lagos,25/07/2023 22:32,,,,,
24,,,,,Front End Web Development,Female,Intermediate,Imoru, New-Site, Ijebu-Ode, Ogun State,25/07/2023 22:50,,
25,,,,,Project management,Female,Beginner,Lagos,26/07/2023 06:37,,,,,
26,,,,,Programming,Male,Beginner,Lagos,26/07/2023 08:38,,,,,
27,,,,,Back,Male,Beginner,Ogun state,26/07/2023 11:29,,,,,
28,,,,,Web development,Male,Beginner,Jos,26/07/2023 12:44,,,,,
29,,,,,Web development,Male,Beginner,Jos,26/07/2023 12:44,,,,,
30,,,,,Web development,Male,Beginner,Jos,26/07/2023 12:44,,,,,
31,,,,,Web development,Male,Beginner,Jos,26/07/2023 12:44,,,,,
32,,,,,Web development,Male,Beginner,Jos,26/07/2023 12:44,,,,,
33,,,,,Data analysis,Female,Intermediate,Lagos,26/07/2023 12:44,,,,,
34,,,,,Computer/Software,Male,Beginner,Ghana,26/07/2023 16:17,,,,,
35,,,,,Digital marketing,Female,,Abuja,26/07/2023 18:18,,,,,
36,,,,,Electrical,Male,Beginner,Ikeja,26/07/2023 19:13,,,,,
37,,,,,Tech,Preferred Not to say,Beginner,Lagos,26/07/2023 23:48,,,,,
38,,,,,front end web development,Male,Beginner,abeokuta,26/07/2023 23:52,,,,,
39,,,,,data Analst,Female,Beginner,lagos,27/07/2023 06:20,,,,,
40,,,,,CSR,Female,,Lagos,27/07/2023 11:05,,,,,
41,,,,,CSR,Female,Beginner,Lagos,27/07/2023 11:05,,,,,
42,,,,,UI/UX design,Female,,Lagos State,27/07/2023 11:27,,,,,
43,,,,,Coding,Female,Beginner,Lagos,27/07/2023 19:22,,,,,
44,,,,,Product  design development,Female,Beginner,Uk,27/07/2023 20:19,,,,,
45,,,,,Web development,Female,Beginner,Lagos,27/07/2023 20:28,,,,,
46,,,,,Coding,Male,Beginner,Sango,Ogun,27/07/2023 21:03,,,,
47,,,,,App development,Male,,Ile ife,28/07/2023 17:28,,,,,
48,,,,,Data Analysis,Male,Beginner,Ebonyi,29/07/2023 07:33,,,,,
49,,,,,Software development,Male,Beginner,Nigeria,29/07/2023 08:34,,,,,
50,,,,,Social Media Management,Female,Intermediate,Lagos,29/07/2023 19:54,,,,,
51,,,,,Product Manager,Male,Beginner,United Kingdom,29/07/2023 19:55,,,,,
52,,,,,Product Manager,Male,Beginner,United Kingdom,29/07/2023 19:55,,,,,
53,,,,,General,Male,,Lagos,30/07/2023 11:38,,,,,
54,,,,,Operations and project management,Female,Intermediate,Ogun,31/07/2023 08:22,,,,,
55,,,,,Digital and Product Marketing,Female,Beginner,Lagos NG,31/07/2023 08:41,,,,,
56,,,,,Full stack,Male,,Abuja,31/07/2023 21:42,,,,,
57,,,,,Website,Male,Beginner,Gbagada,01/08/2023 07:25,,,,,
58,,,,,UI/UX design,Female,Beginner,Lagos state,01/08/2023 08:34,,,,,
59,,,,,uiux design,Female,,Akure,01/08/2023 11:07,,,,,
60,,,,,uiux design,Female,,Akure,01/08/2023 11:10,,,,,
61,,,,,Software engineering,Male,Beginner,Ekpoma Edo-state,01/08/2023 11:59,,,,,
62,,,,,Digital marketing,Male,Intermediate,Lagos,01/08/2023 14:56,,,,,
63,,,,,Data science,Female,Intermediate,UK,01/08/2023 16:59,,,,,
64,,,,,Tech,Male,Beginner,Ogun state,01/08/2023 17:59,,,,,
65,,,,,Front End Web Page Developer,Female,Beginner,Lagos,01/08/2023 18:13,,,,,
66,,,,,AI,Female,Beginner,Benin city, Nigeria,02/08/2023 00:26,,,,
67,,,,,Coding,Male,Beginner,Lagos, Nigeria,02/08/2023 02:19,,,,
68,,,,,Programming,Male,Beginner,Lagos,02/08/2023 07:49,,,,,
